INFORMATIVNÍ ČÁST,,INFORMATIVNÍ ČÁST,,,,,,EDITOVATELNÁ ČÁST,,,,
id,,místo odjezdu / příjezdu,směr,termín,lokalita ,volná místa,,aktuální cena,základní cena,počáteční cena,týdenní navýšení,celková kapacita
#14501,SPOLEČNÁ DOPRAVA,Hranice na Moravě,Do tábora,6. týden (6. 8. 2023 - 12. 8. 2023),RC Lanwood - Lanškroun,100,,280,280,280,0,100
#14502,SPOLEČNÁ DOPRAVA,Hranice na Moravě,Do tábora,7. týden (13. 8. 2023 - 19. 8. 2023),RC Lanwood - Lanškroun,100,,280,280,280,0,100
#14503,SPOLEČNÁ DOPRAVA,Hranice na Moravě,Do tábora,8. týden (20. 8. 2023 - 26. 8. 2023),RC Lanwood - Lanškroun,100,,280,280,280,0,100
#14504,SPOLEČNÁ DOPRAVA,Hranice na Moravě,Do tábora,9. týden (27. 8. 2023 - 1. 9. 2023),RC Lanwood - Lanškroun,100,,280,280,280,0,100
#14505,SPOLEČNÁ DOPRAVA,Hranice na Moravě,Z tábora,1. týden (2. 7. 2023 - 8. 7. 2023),RC Lanwood - Lanškroun,100,,280,280,280,0,100
#14506,SPOLEČNÁ DOPRAVA,Hranice na Moravě,Z tábora,2. týden (9. 7. 2023 - 15. 7. 2023),RC Lanwood - Lanškroun,100,,280,280,280,0,100
#14415,SPOLEČNÁ DOPRAVA,Ostrava,Do tábora,1. týden (2. 7. 2023 - 8. 7. 2023),RC Lanwood - Lanškroun,100,,335,335,335,0,100
#14416,SPOLEČNÁ DOPRAVA,Ostrava,Do tábora,2. týden (9. 7. 2023 - 15. 7. 2023),RC Lanwood - Lanškroun,100,,335,335,335,0,100
#14417,SPOLEČNÁ DOPRAVA,Ostrava,Do tábora,3. týden (16. 7. 2023 - 22. 7. 2023),RC Lanwood - Lanškroun,100,,335,335,335,0,100
#14418,SPOLEČNÁ DOPRAVA,Ostrava,Do tábora,4. týden (23. 7. 2023 - 29. 7. 2023),RC Lanwood - Lanškroun,100,,335,335,335,0,100
#14419,SPOLEČNÁ DOPRAVA,Ostrava,Do tábora,5. týden (30. 7. 2023 - 5. 8. 2023),RC Lanwood - Lanškroun,100,,335,335,335,0,100
#14420,SPOLEČNÁ DOPRAVA,Ostrava,Do tábora,6. týden (6. 8. 2023 - 12. 8. 2023),RC Lanwood - Lanškroun,100,,335,335,335,0,100
#14421,SPOLEČNÁ DOPRAVA,Ostrava,Do tábora,7. týden (13. 8. 2023 - 19. 8. 2023),RC Lanwood - Lanškroun,100,,335,335,335,0,100
#14422,SPOLEČNÁ DOPRAVA,Ostrava,Do tábora,8. týden (20. 8. 2023 - 26. 8. 2023),RC Lanwood - Lanškroun,100,,335,335,335,0,100
